,coordinates,count,lng,lat,max_dist
79,-84.43310600000001_33.7671944,112971,-84.43310600000001,33.7671944,4.608745756221783
80,28.184066_-25.75260515,112266,28.184066,-25.75260515,20.82219457467984
81,-90.2242213_15.772467500000001,111059,-90.2242213,15.7724675,0.0
82,50.5738736_25.95230175,111001,50.5738736,25.95230175,38.47175898776286
83,-48.4597975_-1.2729295000000005,110200,-48.4597975,-1.2729295000000005,161.81673749293083
84,-122.3306024_47.614817200000005,109340,-122.3306024,47.614817200000005,5.433742491330054
85,31.18144605_48.382929000000004,107091,31.18144605,48.382929,91.20205648273021
86,-50.693466_0.5866785,105535,-50.693466,0.5866785,455.12682696139905
87,-86.6807375_32.576227,105254,-86.6807375,32.576227,37.96461732524584
88,72.35549850000001_30.864107500000003,104630,72.35549850000001,30.864107500000003,113.96394059123669
89,-78.55668150184675_-0.1665705005053845,104173,-78.55668150184675,-0.1665705005053845,68.48105960701156
90,-40.30386285_-20.13969395,102209,-40.30386285,-20.13969395,43.263215214667916
91,152.993196544_-27.3821429925,102179,152.993196544,-27.3821429925,86.62184139833062
92,-82.98577205000001_39.9946835,101249,-82.98577205000001,39.9946835,18.667484648583862
93,-89.5694915_44.900818,98627,-89.5694915,44.900818,42.17607097250459
94,24.669943300000003_-28.4794852,98400,24.669943300000003,-28.4794852,60.11677849552487
95,-79.86103375_35.170498499999994,95504,-79.86103375,35.170498499999994,37.84857026075263
96,-60.697405849999996_-32.9516154,95079,-60.69740585,-32.9516154,147.661681392414
97,-86.791549_36.20000805,93907,-86.791549,36.20000805,22.897910820082558
98,31.18144605_48.382929,93690,31.18144605,48.382929,260.8132290778162
99,-5.9284131_54.5958689,93675,-5.9284131,54.5958689,29.887521673130173
100,96.68302915_19.0747082,93641,96.68302915,19.0747082,0.0
101,-52.3338952_-31.5613888,93574,-52.3338952,-31.5613888,85.04771754040618
102,-58.0130215_-34.9363185,92942,-58.0130215,-34.9363185,70.69531109654274
103,-82.44269374999999_27.9965945,92212,-82.44269374999999,27.9965945,7.303765821309264
104,-77.0143985_38.89860285,91991,-77.0143985,38.89860285,1.968897421698128
105,-44.302550499999995_-2.6292855,91958,-44.3025505,-2.6292855,91.88179329330046
